id,title,isbn,publish_date,price_value,price_currency
1165,Machine Learning Mastery,978-100-000-116-5,2021-04-01,73.77,EUR
1166,GCP Fundamentals,978-100-000-116-6,2020-12-21,60.13,USD
1167,TypeScript Deep Dive,978-100-000-116-7,2020-08-28,73.46,GBP
1168,Erlang Cookbook,978-100-000-116-8,2020-06-05,37.76,EUR
1169,C# Demystified,978-100-000-116-9,2021-02-14,17.18,GBP
1170,Django Crash Course,978-100-000-117-0,2020-05-02,97.82,GBP
1171,Elixir Mastery,978-100-000-117-1,2022-05-13,33.43,GBP
1172,Go Handbook,978-100-000-117-2,2021-01-30,76.02,EUR
1173,GCP Guide,978-100-000-117-3,2020-10-20,13.05,EUR
1174,AWS in 24 Hours,978-100-000-117-4,2020-09-12,82.48,EUR
1175,Flask Advanced,978-100-000-117-5,2021-06-07,39.33,EUR
1176,Machine Learning Deep Dive,978-100-000-117-6,2021-02-14,80.73,GBP
1177,Go Advanced,978-100-000-117-7,2020-02-10,19.56,USD
1178,Azure Guide,978-100-000-117-8,2021-08-04,80.54,GBP
1179,AWS Crash Course,978-100-000-117-9,2021-01-06,95.99,EUR
1180,Machine Learning Advanced,978-100-000-118-0,2022-05-16,51.16,EUR
1181,Swift in 24 Hours,978-100-000-118-1,2021-04-18,72.81,USD
1182,Flask Mastery,978-100-000-118-2,2022-07-06,77.13,GBP
1183,Blockchain in 24 Hours,978-100-000-118-3,2020-01-26,61.34,GBP
1184,Spring Demystified,978-100-000-118-4,2021-01-03,54.91,EUR
1185,Scala Handbook,978-100-000-118-5,2020-01-29,12.71,USD
1186,Elixir Fundamentals,978-100-000-118-6,2022-04-23,57.05,EUR
1187,Kotlin for Beginners,978-100-000-118-7,2021-01-24,49.58,EUR
1188,Flutter Advanced,978-100-000-118-8,2020-05-10,42.60,USD
1189,Elixir Cookbook,978-100-000-118-9,2021-01-18,73.41,USD
1190,TypeScript in 24 Hours,978-100-000-119-0,2020-12-28,70.19,GBP
1191,Elixir Essentials,978-100-000-119-1,2021-05-12,25.52,USD
1192,Kubernetes Demystified,978-100-000-119-2,2020-08-14,92.87,USD
1193,Cybersecurity Patterns,978-100-000-119-3,2021-10-23,24.48,EUR
1194,TypeScript Essentials,978-100-000-119-4,2020-11-26,87.82,EUR
1195,Kotlin Crash Course,978-100-000-119-5,2020-10-26,97.93,USD
1196,Python Deep Dive,978-100-000-119-6,2021-02-10,77.19,USD
1197,Ruby Demystified,978-100-000-119-7,2020-07-09,57.47,GBP
1198,Data Science Mastery,978-100-000-119-8,2020-03-01,99.12,USD
1199,Elixir Deep Dive,978-100-000-119-9,2020-07-28,89.65,GBP
1200,Laravel Guide,978-100-000-120-0,2022-06-15,37.76,USD
1201,PHP Essentials,978-100-000-120-1,2021-03-21,98.79,USD
1202,Data Science Demystified,978-100-000-120-2,2020-05-17,21.24,GBP
1203,Vue Cookbook,978-100-000-120-3,2020-12-24,17.53,GBP
1204,Data Science for Beginners,978-100-000-120-4,2022-05-28,18.44,USD
1205,Laravel Deep Dive,978-100-000-120-5,2021-01-24,20.66,USD
1206,TypeScript Guide,978-100-000-120-6,2020-11-26,52.12,USD
1207,AWS in 24 Hours,978-100-000-120-7,2022-05-01,49.65,USD
1208,Machine Learning Fundamentals,978-100-000-120-8,2021-10-09,76.83,USD
1209,Laravel Essentials,978-100-000-120-9,2021-10-07,24.99,USD
1210,Swift Deep Dive,978-100-000-121-0,2021-01-19,16.56,EUR
1211,TypeScript Demystified,978-100-000-121-1,2020-10-19,10.31,EUR
1212,Flask Mastery,978-100-000-121-2,2020-01-24,84.95,USD
1213,Laravel Handbook,978-100-000-121-3,2020-09-05,32.56,GBP
1214,Django Deep Dive,978-100-000-121-4,2021-07-19,53.09,EUR
1215,Django Crash Course,978-100-000-121-5,2022-02-23,65.62,EUR
1216,Azure Crash Course,978-100-000-121-6,2020-07-27,92.77,USD
1217,AWS for Beginners,978-100-000-121-7,2020-04-12,91.27,USD
1218,C# Demystified,978-100-000-121-8,2020-12-25,80.76,USD
1219,Rust Deep Dive,978-100-000-121-9,2020-08-02,26.04,USD
1220,Java Handbook,978-100-000-122-0,2022-09-19,98.52,EUR
1221,AWS Fundamentals,978-100-000-122-1,2022-01-25,34.26,EUR
1222,Flask Mastery,978-100-000-122-2,2021-11-05,23.63,USD
1223,TypeScript Handbook,978-100-000-122-3,2020-09-29,87.75,USD
1224,Azure Patterns,978-100-000-122-4,2021-02-11,66.68,USD
1225,C++ in 24 Hours,978-100-000-122-5,2020-06-29,62.25,GBP
1226,Angular in Action,978-100-000-122-6,2020-08-09,31.04,EUR
1227,Angular Fundamentals,978-100-000-122-7,2021-05-27,23.91,USD
1228,AI in 24 Hours,978-100-000-122-8,2020-03-15,93.14,USD
1229,Java Handbook,978-100-000-122-9,2020-12-30,27.71,EUR
1230,React Native Crash Course,978-100-000-123-0,2021-02-04,91.49,GBP
1231,Spring in Action,978-100-000-123-1,2021-04-17,71.56,USD
1232,PHP for Beginners,978-100-000-123-2,2022-09-23,18.80,USD
1233,Django Crash Course,978-100-000-123-3,2020-08-03,79.55,USD
1234,DevOps Handbook,978-100-000-123-4,2022-01-06,41.06,GBP
1235,Angular Cookbook,978-100-000-123-5,2022-08-24,38.38,USD
1236,PHP Demystified,978-100-000-123-6,2022-02-13,86.09,EUR
1237,Kubernetes Crash Course,978-100-000-123-7,2021-05-23,96.86,EUR
1238,PHP in Action,978-100-000-123-8,2020-10-27,98.61,USD
1239,Ruby Crash Course,978-100-000-123-9,2020-03-31,30.11,EUR
1240,Kotlin Handbook,978-100-000-124-0,2021-08-08,33.33,EUR
1241,JavaScript Mastery,978-100-000-124-1,2021-02-07,68.17,EUR
1242,TypeScript in 24 Hours,978-100-000-124-2,2021-11-20,27.27,GBP
1243,DevOps Deep Dive,978-100-000-124-3,2022-02-06,76.80,GBP
1244,Data Science Patterns,978-100-000-124-4,2020-06-15,96.25,GBP
1245,Ruby Handbook,978-100-000-124-5,2021-04-08,68.90,EUR
1246,React Fundamentals,978-100-000-124-6,2022-08-28,89.90,USD
1247,JavaScript in 24 Hours,978-100-000-124-7,2022-03-14,78.82,USD
1248,TypeScript Guide,978-100-000-124-8,2022-09-26,96.83,EUR
1249,Django Essentials,978-100-000-124-9,2020-03-03,88.39,GBP
1250,Scala in 24 Hours,978-100-000-125-0,2021-07-02,65.68,USD
1251,Erlang Crash Course,978-100-000-125-1,2022-06-26,49.10,GBP
1252,Laravel Advanced,978-100-000-125-2,2020-10-21,98.32,EUR
1253,Flutter Fundamentals,978-100-000-125-3,2021-10-31,63.39,EUR
1254,Spring Cookbook,978-100-000-125-4,2020-10-03,45.09,GBP
1255,Machine Learning for Beginners,978-100-000-125-5,2021-02-09,90.94,GBP
1256,Django in Action,978-100-000-125-6,2021-11-24,67.31,USD
1257,Go Demystified,978-100-000-125-7,2020-03-31,36.29,USD
1258,AI Fundamentals,978-100-000-125-8,2020-02-20,76.25,USD
1259,GCP for Beginners,978-100-000-125-9,2021-05-03,32.20,EUR
1260,PHP Patterns,978-100-000-126-0,2020-02-08,59.82,GBP
1261,GCP Deep Dive,978-100-000-126-1,2021-06-08,82.20,EUR
1262,PHP Advanced,978-100-000-126-2,2021-11-15,39.14,GBP
1263,Go Essentials,978-100-000-126-3,2021-01-16,67.32,GBP
1264,Angular Demystified,978-100-000-126-4,2022-03-05,18.26,EUR
1265,Docker in 24 Hours,978-100-000-126-5,2020-08-06,96.96,EUR
1266,Scala in 24 Hours,978-100-000-126-6,2020-09-02,31.03,GBP
1267,Kubernetes Handbook,978-100-000-126-7,2022-03-07,18.28,USD
1268,Python in Action,978-100-000-126-8,2020-03-31,49.47,USD
1269,JavaScript Demystified,978-100-000-126-9,2022-07-08,71.03,USD
1270,Blockchain Handbook,978-100-000-127-0,2021-12-23,78.73,EUR
1271,DevOps Handbook,978-100-000-127-1,2022-05-20,89.74,GBP
1272,Kotlin Guide,978-100-000-127-2,2022-08-01,10.87,USD
1273,Machine Learning Mastery,978-100-000-127-3,2021-02-07,48.90,GBP
1274,Vue Deep Dive,978-100-000-127-4,2021-03-31,72.43,EUR
1275,TypeScript Mastery,978-100-000-127-5,2022-08-17,13.52,GBP
1276,TypeScript in Action,978-100-000-127-6,2022-09-24,23.10,GBP
1277,Docker for Beginners,978-100-000-127-7,2022-01-03,37.36,USD
1278,Scala in 24 Hours,978-100-000-127-8,2020-04-29,76.55,GBP
1279,Ruby Guide,978-100-000-127-9,2020-03-10,42.47,GBP
1280,PHP Advanced,978-100-000-128-0,2021-05-12,39.42,GBP
1281,C# Essentials,978-100-000-128-1,2020-01-01,70.86,EUR
1282,C++ Fundamentals,978-100-000-128-2,2020-06-15,52.13,EUR
1283,Elixir Handbook,978-100-000-128-3,2020-09-27,14.56,USD
1284,DevOps Fundamentals,978-100-000-128-4,2021-11-21,77.79,USD
1285,Django Mastery,978-100-000-128-5,2022-03-08,27.18,GBP
1286,Erlang Deep Dive,978-100-000-128-6,2020-03-12,39.62,USD
1287,C++ Guide,978-100-000-128-7,2021-10-20,67.25,GBP
1288,Scala in 24 Hours,978-100-000-128-8,2020-03-22,90.32,EUR
1289,Rust in Action,978-100-000-128-9,2020-09-25,18.98,USD
1290,Haskell Mastery,978-100-000-129-0,2021-05-13,40.89,EUR
1291,Haskell Essentials,978-100-000-129-1,2020-09-02,12.79,EUR
1292,Go Patterns,978-100-000-129-2,2022-03-06,15.53,USD
1293,Flask Guide,978-100-000-129-3,2022-07-27,81.24,GBP
1294,Spring Mastery,978-100-000-129-4,2020-01-11,35.67,USD
1295,React Deep Dive,978-100-000-129-5,2021-08-21,78.96,EUR
1296,Kotlin Fundamentals,978-100-000-129-6,2022-01-25,87.91,USD
1297,DevOps Crash Course,978-100-000-129-7,2021-03-07,44.61,USD
1298,Vue Deep Dive,978-100-000-129-8,2022-04-01,89.82,USD
1299,C++ Advanced,978-100-000-129-9,2020-12-31,64.37,USD
1300,Spring Patterns,978-100-000-130-0,2022-07-30,76.79,EUR
1301,GCP Cookbook,978-100-000-130-1,2022-01-03,56.20,USD
1302,Machine Learning in Action,978-100-000-130-2,2022-03-19,15.50,GBP
1303,C++ Crash Course,978-100-000-130-3,2020-07-04,55.75,GBP
1304,DevOps in Action,978-100-000-130-4,2021-01-09,17.69,USD
1305,Kotlin Advanced,978-100-000-130-5,2020-07-21,31.37,GBP
1306,Flutter Demystified,978-100-000-130-6,2022-05-13,63.31,USD
1307,Python Essentials,978-100-000-130-7,2022-07-25,97.66,GBP
1308,Ruby Fundamentals,978-100-000-130-8,2020-05-11,86.58,GBP
1309,Rust Demystified,978-100-000-130-9,2021-08-31,90.45,GBP
1310,React Native Handbook,978-100-000-131-0,2022-02-02,41.32,EUR
1311,TypeScript Crash Course,978-100-000-131-1,2020-04-02,42.21,EUR
1312,Python Crash Course,978-100-000-131-2,2020-10-19,52.38,GBP
1313,Flask in 24 Hours,978-100-000-131-3,2022-05-18,12.37,EUR
1314,JavaScript Cookbook,978-100-000-131-4,2020-07-06,59.19,EUR
1315,AI Handbook,978-100-000-131-5,2022-09-18,83.79,GBP
1316,Flutter Fundamentals,978-100-000-131-6,2020-02-09,80.60,GBP
1317,TypeScript Demystified,978-100-000-131-7,2022-07-13,96.62,GBP
1318,Scala Guide,978-100-000-131-8,2022-09-03,68.98,EUR
1319,PHP Demystified,978-100-000-131-9,2021-09-16,16.65,EUR
1320,GCP Guide,978-100-000-132-0,2020-02-05,46.26,USD
1321,PHP Advanced,978-100-000-132-1,2020-08-04,31.33,EUR
1322,Scala Patterns,978-100-000-132-2,2022-02-16,79.49,USD
1323,Elixir Handbook,978-100-000-132-3,2022-02-04,13.49,EUR
1324,Scala Advanced,978-100-000-132-4,2020-08-20,53.17,USD
1325,Spring for Beginners,978-100-000-132-5,2022-02-24,94.81,GBP
1326,Flask Guide,978-100-000-132-6,2021-01-09,20.30,USD
1327,Data Science Cookbook,978-100-000-132-7,2021-12-13,72.81,GBP
1328,React Native Fundamentals,978-100-000-132-8,2021-07-23,38.66,EUR
1329,React for Beginners,978-100-000-132-9,2020-03-22,76.34,USD
1330,Angular in Action,978-100-000-133-0,2022-04-27,23.74,EUR
1331,Angular Handbook,978-100-000-133-1,2020-07-27,92.66,EUR
1332,Angular Advanced,978-100-000-133-2,2020-06-19,55.89,USD
1333,PHP Cookbook,978-100-000-133-3,2022-07-29,56.74,EUR
1334,Data Science Deep Dive,978-100-000-133-4,2020-02-18,36.60,USD
1335,PHP Mastery,978-100-000-133-5,2021-03-02,98.06,USD
1336,JavaScript for Beginners,978-100-000-133-6,2021-02-09,37.41,GBP
1337,GCP Deep Dive,978-100-000-133-7,2020-09-04,41.09,EUR
1338,C++ in 24 Hours,978-100-000-133-8,2021-12-17,94.42,USD
1339,Flask Guide,978-100-000-133-9,2022-07-30,87.33,GBP
1340,Blockchain Cookbook,978-100-000-134-0,2020-06-07,73.35,EUR
1341,Ruby Essentials,978-100-000-134-1,2022-01-20,10.16,EUR
1342,AWS Advanced,978-100-000-134-2,2020-06-22,19.02,GBP
1343,JavaScript Deep Dive,978-100-000-134-3,2021-09-15,91.52,EUR
1344,React in Action,978-100-000-134-4,2022-01-30,57.89,EUR
1345,GCP Essentials,978-100-000-134-5,2020-05-21,75.05,GBP
1346,TypeScript Fundamentals,978-100-000-134-6,2020-07-27,87.62,EUR
1347,Docker Cookbook,978-100-000-134-7,2022-06-20,66.49,EUR
1348,C# Demystified,978-100-000-134-8,2022-09-17,29.79,EUR
1349,Angular Demystified,978-100-000-134-9,2020-04-11,21.74,USD
1350,Java Demystified,978-100-000-135-0,2020-05-03,83.46,GBP
1351,AI Patterns,978-100-000-135-1,2021-08-23,57.77,USD
1352,Ruby in 24 Hours,978-100-000-135-2,2022-07-10,31.70,USD
1353,Angular Essentials,978-100-000-135-3,2022-04-06,24.73,GBP
1354,Blockchain Crash Course,978-100-000-135-4,2020-10-30,94.47,USD
1355,Azure Advanced,978-100-000-135-5,2020-03-07,43.39,EUR
1356,AI Demystified,978-100-000-135-6,2022-07-22,14.75,GBP
1357,React Native Essentials,978-100-000-135-7,2020-04-07,58.86,GBP
1358,Elixir in Action,978-100-000-135-8,2021-07-23,95.81,USD
1359,Rust Deep Dive,978-100-000-135-9,2020-07-08,77.08,EUR
1360,Haskell Demystified,978-100-000-136-0,2022-06-19,75.51,EUR
1361,Swift Fundamentals,978-100-000-136-1,2021-07-29,41.69,EUR
1362,Scala Guide,978-100-000-136-2,2021-08-13,61.63,EUR
1363,React Native in Action,978-100-000-136-3,2020-03-29,25.72,EUR
1364,Angular in 24 Hours,978-100-000-136-4,2021-12-23,87.87,USD
1365,Flutter for Beginners,978-100-000-136-5,2020-11-07,92.88,USD
1366,Blockchain Mastery,978-100-000-136-6,2022-02-15,15.54,USD
1367,Kubernetes Fundamentals,978-100-000-136-7,2020-01-07,56.79,GBP
1368,Blockchain Handbook,978-100-000-136-8,2021-02-20,41.02,EUR
1369,Go in Action,978-100-000-136-9,2021-04-07,88.00,USD
1370,Erlang Handbook,978-100-000-137-0,2020-05-22,48.86,GBP
1371,Django in Action,978-100-000-137-1,2020-06-12,45.55,GBP
1372,PHP in Action,978-100-000-137-2,2022-05-08,58.85,USD
1373,Elixir in 24 Hours,978-100-000-137-3,2020-09-24,11.23,GBP
1374,Vue in 24 Hours,978-100-000-137-4,2020-01-07,41.55,GBP
1375,Azure Crash Course,978-100-000-137-5,2021-06-25,46.78,GBP
1376,Erlang Crash Course,978-100-000-137-6,2020-12-18,54.94,USD
1377,Kotlin Handbook,978-100-000-137-7,2021-05-26,37.13,EUR
1378,Go Deep Dive,978-100-000-137-8,2020-06-17,25.14,USD
1379,Spring in 24 Hours,978-100-000-137-9,2020-12-20,46.41,USD
1380,Angular Deep Dive,978-100-000-138-0,2022-01-16,49.63,EUR
1381,C++ Demystified,978-100-000-138-1,2021-02-04,78.47,EUR
1382,Flutter Essentials,978-100-000-138-2,2021-03-10,96.78,EUR
1383,C++ Essentials,978-100-000-138-3,2020-09-19,65.56,EUR
1384,Erlang Cookbook,978-100-000-138-4,2021-02-16,86.88,GBP
1385,Cybersecurity Deep Dive,978-100-000-138-5,2021-02-11,39.49,GBP
1386,Swift Advanced,978-100-000-138-6,2020-08-31,72.13,USD
1387,Blockchain Patterns,978-100-000-138-7,2021-05-25,47.40,USD
1388,Vue Guide,978-100-000-138-8,2021-07-14,55.24,USD
1389,Laravel Patterns,978-100-000-138-9,2021-06-09,92.80,EUR
1390,C# Demystified,978-100-000-139-0,2021-12-05,91.41,EUR
1391,Django Patterns,978-100-000-139-1,2020-06-27,61.67,USD
1392,Azure in Action,978-100-000-139-2,2022-06-04,42.87,GBP
1393,C# Fundamentals,978-100-000-139-3,2021-02-20,55.79,GBP
1394,Flutter in 24 Hours,978-100-000-139-4,2021-04-06,55.17,GBP
1395,Azure for Beginners,978-100-000-139-5,2022-07-07,74.57,GBP
1396,AWS Essentials,978-100-000-139-6,2021-03-31,86.82,USD
1397,Angular Deep Dive,978-100-000-139-7,2021-03-27,68.55,USD
1398,Kubernetes Mastery,978-100-000-139-8,2021-09-22,86.87,USD
1399,Rust Handbook,978-100-000-139-9,2021-08-08,53.96,EUR
1400,Go Mastery,978-100-000-140-0,2020-01-04,33.37,GBP
1401,React Native Advanced,978-100-000-140-1,2022-07-04,11.59,USD
1402,AI in Action,978-100-000-140-2,2020-04-10,79.56,EUR
1403,Kubernetes Guide,978-100-000-140-3,2021-02-01,58.83,USD
1404,Flask in 24 Hours,978-100-000-140-4,2022-01-24,29.80,USD
1405,Laravel for Beginners,978-100-000-140-5,2022-03-26,34.99,USD
1406,GCP in 24 Hours,978-100-000-140-6,2022-09-25,88.92,USD
1407,Kotlin Demystified,978-100-000-140-7,2022-01-12,80.18,GBP
1408,Haskell Essentials,978-100-000-140-8,2021-07-05,78.93,USD
1409,Vue Cookbook,978-100-000-140-9,2022-05-06,42.67,USD
1410,Flutter Fundamentals,978-100-000-141-0,2020-07-22,79.01,EUR
1411,Haskell for Beginners,978-100-000-141-1,2021-01-05,92.05,GBP
1412,TypeScript Guide,978-100-000-141-2,2022-04-21,96.90,EUR
1413,Java Guide,978-100-000-141-3,2022-09-03,61.29,USD
1414,Laravel Advanced,978-100-000-141-4,2021-12-08,93.94,USD
1415,TypeScript Patterns,978-100-000-141-5,2020-03-06,32.05,GBP
1416,C++ Crash Course,978-100-000-141-6,2020-04-03,29.76,GBP
1417,GCP Demystified,978-100-000-141-7,2021-06-19,52.35,USD
1418,Ruby Crash Course,978-100-000-141-8,2020-11-17,24.08,USD
1419,Flutter Crash Course,978-100-000-141-9,2020-12-29,31.74,USD
1420,AWS Cookbook,978-100-000-142-0,2022-03-09,87.39,GBP
1421,Vue Essentials,978-100-000-142-1,2021-04-07,73.18,GBP
1422,Flutter Mastery,978-100-000-142-2,2022-08-30,31.23,EUR
1423,Data Science Handbook,978-100-000-142-3,2020-01-01,98.34,USD
1424,DevOps in Action,978-100-000-142-4,2020-01-24,56.21,EUR
1425,JavaScript Handbook,978-100-000-142-5,2021-05-03,92.95,EUR
1426,AWS Deep Dive,978-100-000-142-6,2020-05-29,59.63,EUR
1427,TypeScript Deep Dive,978-100-000-142-7,2020-07-14,88.41,USD
1428,Cybersecurity Crash Course,978-100-000-142-8,2020-09-03,50.09,USD
1429,Java Cookbook,978-100-000-142-9,2020-12-19,72.06,USD
1430,Azure Cookbook,978-100-000-143-0,2022-04-13,52.44,EUR
1431,Angular Advanced,978-100-000-143-1,2022-02-14,85.19,USD
1432,Laravel Handbook,978-100-000-143-2,2020-01-12,74.47,GBP
1433,GCP Demystified,978-100-000-143-3,2020-06-28,81.62,GBP
1434,Go Guide,978-100-000-143-4,2021-02-25,25.13,EUR
1435,Go Patterns,978-100-000-143-5,2021-03-22,54.76,USD
1436,Flutter Patterns,978-100-000-143-6,2020-01-15,54.44,USD
1437,React in 24 Hours,978-100-000-143-7,2020-06-26,88.15,USD
1438,Rust Patterns,978-100-000-143-8,2021-04-05,12.46,EUR
1439,GCP Demystified,978-100-000-143-9,2021-05-24,50.19,USD
1440,Django Cookbook,978-100-000-144-0,2021-10-19,55.88,GBP
1441,GCP Patterns,978-100-000-144-1,2021-12-25,20.64,EUR
1442,TypeScript Guide,978-100-000-144-2,2020-10-29,78.66,GBP
1443,C++ for Beginners,978-100-000-144-3,2020-02-29,69.70,EUR
1444,TypeScript Crash Course,978-100-000-144-4,2021-06-20,53.15,GBP
1445,Cybersecurity Patterns,978-100-000-144-5,2021-03-06,38.71,USD
1446,Kubernetes in 24 Hours,978-100-000-144-6,2021-04-12,74.95,EUR
1447,Erlang in 24 Hours,978-100-000-144-7,2021-08-30,51.17,EUR
1448,Angular Essentials,978-100-000-144-8,2022-02-14,75.72,EUR
1449,C# Advanced,978-100-000-144-9,2020-01-19,54.82,GBP
1450,Flutter Crash Course,978-100-000-145-0,2022-04-18,61.72,USD
1451,Swift Demystified,978-100-000-145-1,2022-04-11,16.21,GBP
1452,Machine Learning Guide,978-100-000-145-2,2021-01-22,48.93,GBP
1453,Django Essentials,978-100-000-145-3,2022-01-27,33.56,GBP
1454,Data Science in Action,978-100-000-145-4,2022-03-11,77.41,EUR
1455,Machine Learning for Beginners,978-100-000-145-5,2022-03-12,92.98,GBP
1456,DevOps Fundamentals,978-100-000-145-6,2022-09-23,90.50,GBP
1457,Swift Cookbook,978-100-000-145-7,2021-04-20,92.15,GBP
1458,Erlang for Beginners,978-100-000-145-8,2022-09-06,16.74,EUR
1459,Angular Advanced,978-100-000-145-9,2022-06-26,61.23,USD
1460,Cybersecurity Advanced,978-100-000-146-0,2020-05-26,67.68,USD
1461,Kubernetes Fundamentals,978-100-000-146-1,2020-09-03,11.53,GBP
1462,PHP Handbook,978-100-000-146-2,2020-03-20,22.51,GBP
1463,Kotlin Crash Course,978-100-000-146-3,2022-09-26,26.55,GBP
1464,Kotlin Fundamentals,978-100-000-146-4,2021-02-22,78.45,EUR
1465,Docker Patterns,978-100-000-146-5,2020-12-30,94.97,EUR
1466,Blockchain Mastery,978-100-000-146-6,2020-07-17,53.83,GBP
1467,Flutter in 24 Hours,978-100-000-146-7,2020-02-22,71.46,EUR
1468,C# for Beginners,978-100-000-146-8,2021-05-10,17.95,EUR
1469,Swift in Action,978-100-000-146-9,2021-11-12,39.34,EUR
1470,Haskell Deep Dive,978-100-000-147-0,2021-04-11,60.74,EUR
1471,C++ in 24 Hours,978-100-000-147-1,2022-09-23,73.61,EUR
1472,Docker in Action,978-100-000-147-2,2021-03-20,23.85,EUR
1473,Go in 24 Hours,978-100-000-147-3,2021-10-09,17.35,GBP
1474,Elixir Fundamentals,978-100-000-147-4,2021-09-27,51.74,EUR
1475,Data Science Crash Course,978-100-000-147-5,2021-03-08,63.76,EUR
1476,Rust Handbook,978-100-000-147-6,2022-03-21,84.60,USD
1477,PHP Mastery,978-100-000-147-7,2020-06-26,42.15,GBP
1478,AI in Action,978-100-000-147-8,2022-06-14,63.24,GBP
1479,Angular Handbook,978-100-000-147-9,2020-02-10,14.74,GBP
1480,PHP in 24 Hours,978-100-000-148-0,2020-01-06,87.98,USD
1481,Vue Guide,978-100-000-148-1,2020-01-27,56.40,USD
1482,Flask Patterns,978-100-000-148-2,2021-05-02,62.47,USD
1483,Machine Learning Guide,978-100-000-148-3,2022-02-06,44.20,EUR
1484,AI Demystified,978-100-000-148-4,2022-01-03,60.46,GBP
1485,Data Science for Beginners,978-100-000-148-5,2022-09-05,57.02,USD
1486,GCP Guide,978-100-000-148-6,2020-04-24,96.59,GBP
1487,TypeScript Essentials,978-100-000-148-7,2020-07-22,54.14,GBP
1488,Flutter Demystified,978-100-000-148-8,2022-06-24,56.66,GBP
1489,PHP in Action,978-100-000-148-9,2022-08-09,85.83,USD
1490,React Native for Beginners,978-100-000-149-0,2020-05-01,24.69,EUR
1491,Flask Cookbook,978-100-000-149-1,2022-06-05,86.41,EUR
1492,Haskell Patterns,978-100-000-149-2,2021-02-17,23.11,GBP
1493,Django Patterns,978-100-000-149-3,2022-03-15,18.23,GBP
1494,Azure Demystified,978-100-000-149-4,2021-10-09,25.68,USD
1495,DevOps for Beginners,978-100-000-149-5,2022-05-07,11.01,EUR
1496,C++ Patterns,978-100-000-149-6,2022-09-05,62.27,USD
1497,JavaScript Essentials,978-100-000-149-7,2022-08-04,55.50,EUR
1498,Flask Crash Course,978-100-000-149-8,2020-02-12,42.34,EUR
1499,Rust Advanced,978-100-000-149-9,2022-05-02,58.01,EUR
1500,Python Mastery,978-100-000-150-0,2021-01-03,55.52,GBP
1501,Data Science Handbook,978-100-000-150-1,2021-01-12,94.16,EUR
1502,Haskell Guide,978-100-000-150-2,2021-07-04,37.31,GBP
1503,Go Advanced,978-100-000-150-3,2020-11-30,90.19,USD
1504,C++ Essentials,978-100-000-150-4,2022-06-29,23.18,GBP
1505,Flutter Advanced,978-100-000-150-5,2020-02-14,74.82,USD
1506,DevOps Patterns,978-100-000-150-6,2021-12-27,74.26,GBP
1507,Vue Deep Dive,978-100-000-150-7,2021-03-05,35.10,USD
1508,Spring Demystified,978-100-000-150-8,2021-10-30,32.07,USD
1509,AI Deep Dive,978-100-000-150-9,2020-03-07,45.43,USD
1510,Docker Patterns,978-100-000-151-0,2021-01-21,28.01,GBP
1511,Haskell for Beginners,978-100-000-151-1,2022-01-12,71.84,GBP
1512,Laravel Deep Dive,978-100-000-151-2,2021-03-25,44.23,GBP
1513,Laravel Patterns,978-100-000-151-3,2021-07-01,60.92,GBP
1514,React Native Fundamentals,978-100-000-151-4,2020-02-05,33.09,GBP
1515,Blockchain for Beginners,978-100-000-151-5,2021-09-28,68.06,EUR
1516,Kubernetes in Action,978-100-000-151-6,2021-03-12,29.58,GBP
1517,Go Demystified,978-100-000-151-7,2021-05-02,55.44,EUR
1518,Cybersecurity Crash Course,978-100-000-151-8,2020-07-29,92.17,EUR
1519,Ruby Fundamentals,978-100-000-151-9,2020-09-26,43.26,USD
1520,Django Advanced,978-100-000-152-0,2021-11-11,61.03,EUR
1521,GCP Demystified,978-100-000-152-1,2020-06-24,35.92,GBP
1522,Angular Advanced,978-100-000-152-2,2021-07-13,29.27,EUR
1523,Docker Crash Course,978-100-000-152-3,2022-01-26,58.81,EUR
1524,AWS Patterns,978-100-000-152-4,2021-10-30,91.86,GBP
1525,AI Essentials,978-100-000-152-5,2022-04-17,32.76,EUR
1526,Docker in 24 Hours,978-100-000-152-6,2022-07-14,34.40,GBP
1527,React Native Cookbook,978-100-000-152-7,2022-03-29,40.46,EUR
1528,Vue Guide,978-100-000-152-8,2022-06-19,52.86,USD
1529,Blockchain Mastery,978-100-000-152-9,2020-04-07,37.87,USD
1530,Docker Advanced,978-100-000-153-0,2022-05-19,97.68,USD
1531,Rust Patterns,978-100-000-153-1,2021-02-09,85.91,GBP
1532,Blockchain in 24 Hours,978-100-000-153-2,2021-02-18,85.22,EUR
1533,Haskell Patterns,978-100-000-153-3,2022-08-12,83.72,EUR
1534,Kubernetes Guide,978-100-000-153-4,2021-02-16,81.57,GBP
1535,Django in Action,978-100-000-153-5,2022-04-21,57.48,EUR
1536,Blockchain Cookbook,978-100-000-153-6,2022-06-11,57.68,USD
1537,AWS Advanced,978-100-000-153-7,2021-06-05,93.37,GBP
1538,Laravel Fundamentals,978-100-000-153-8,2022-08-05,94.66,USD
1539,PHP Patterns,978-100-000-153-9,2021-05-07,17.10,EUR
1540,Flask Cookbook,978-100-000-154-0,2021-06-21,53.94,EUR
1541,Kotlin in Action,978-100-000-154-1,2020-08-30,43.42,EUR
1542,Blockchain Deep Dive,978-100-000-154-2,2021-05-31,57.06,USD
1543,Java Crash Course,978-100-000-154-3,2020-03-31,19.05,USD
